Sentence,Aspect
LOVED THE HAMPTON INN SEAPORT!!!!!!!!!!!!!!!!!!,OTHER
Just returned from a 3 night stay.,NOTRELATED
This is a FABULOUS hotel.,OTHER
"The front desk staff, the doormen, the breakfast staff, EVERYONE is incredibly friendly and helpful and warm and welcoming.",SERVICE
The room was fabulous too.,ROOMS
"Really comfy beds, great decorating, and super super clean.",CLEANLINESS
"The breakfasts are great - fresh fruit, bagels, muffins, hot eggs and sausage, etc.",FOOD
Good coffee.,FOOD
Just around the corner from the hotel is a FABULOUS little Italian restaurant - Bon Amici.,LOCATION
Highly recommend it.,OTHER
I will stay at this hotel everytime I come to New York.,OTHER
Can't say enough great things about it!!!!!,OTHER
We Will Stay Here Again,OTHER
"This is the second time that we are staying at Lanson Place, Hong Kong.",NOTRELATED
"We loved its location in Causeway Bay-a stone's throw from the Causeway Bay MTR, great food outlets at Jardine's Bazaar, good shopping at Times Square.",LOCATION
The room is big for HK standards and there is a small kitchenette if you need to heat up food in the microwave or cook a meal.,ROOMS
"This time, our room was in an L-shaped configuration.",ROOMS
The bedroom was a little tight but the living and study space was slightly bigger.,ROOMS
The furnishings and fittings are still in good condition.,ROOMS
"When we checked in for our stay, we were a little annoyed that we had to wait for our room to be ready even though it was 21/2 hours past the check-in time.",CHECKIN
I was a little taken aback too when one of the bath towels that I wanted to use had 5 holes on it.,CLEANLINESS
"Nevertheless, the housekeeping team was prompt with providing us with good quality towels when we requested for it.We will stay here again when we next visit HK.",VALUE
Good Value Hotel,VALUE
I stayed for two nights: with fees paid $62.00 on Hotwire per night.,VALUE
Very nice reception.,BUILDING
Room was large and well laid out.,ROOMS
Big breakfast included.,FOOD
Location is excellent.,LOCATION
"I lived very nearby in Miami Springs for sixteen years, so while the neighborhood doesn't look like much I know it is just airport industrial, and safe.",LOCATION
On the same street two or three miles past nice office parks to the west are all sorts of great restaurants.,LOCATION
"Will return, in all likellihood.",OTHER
"Nice little hotel, friendly staff",OTHER
The room was clean and well maintained.,CLEANLINESS
One thing we will remember about the room is that AC was freezing!!!,ROOMS
But that isn't a bad thing.,ROOMS
The CPI is in walking distance to all of Condado as well as on the bus route for taking a trip to Old San Juan or to Isle de Verde.,LOCATION
Great price too!,VALUE
Piss Poor Pretty cheap,OTHER
"I paid $53 per night for the Monarch, it was worth all of $20.",VALUE
"I felt right at home in the neighborhood of the Monarch, then again I live right outside of Newark NJ, which explains why our car was keyed and our mirror was ripped off.",NOTRELATED
"Upon finding out my shower didn't work, the indifferent staff gave me a new room after only 10 min of arguing, which was nice.",ROOMS
"Overall, if cost is a main concern, and you want stay in a basic room for $50 with decent service, in an acceptable neighborhood, then you apparently don't have enough $$$ to stay in a San Francisco hotel, try an upgrade to a local hostel, or stay home.",OTHER
Overrated We were very excited about our stay - but ended up disappointed.,OTHER
"We were in a deluxe room (don't be fooled, these are the basic rooms) which was really small, compared to the fantastic villa we had in Benoa for less then half the price!)",ROOMS
"It was nicely done, but not Balinese at all, and we felt a little bit stark.",ROOMS
We arrived at lunchtime - ordered food and proceeded to wait a LONG time.,SERVICE
"A couple who ordered food after us were given complimentary drinks because of the wait, but we weren't.",SERVICE
"The setting and pool are gorgous, but as others have said there are nowhere near enough loungers, so people were lying on the floor - not what you expect from a 5 star hotel.",BUILDING
The restaurant was pretty terrible - the worst nasi goreng I had in 2 weeks by far.,FOOD
"The shuttle isn't regular enough, and the town of Ubud is fantastic - loads of lovely restaurants, and quiet away from the main streets - I would really recommend staying in the town.",OTHER
"One absolute positive - the breakfast is fantastic - and free room delivery is well worth it!Overall, I think it just doesn't stack up with other 5 star hotels - the comparison to the Oberoi Seminyak is laughable - now that really is worth it!",FOOD
Fantastic hotel - will be going back asap!,OTHER
A colleague and myself stayed at 1898 at the beginning of July for a work trip.,NOTRELATED
"We both work in the fashion industry and would be bringing clients back to the hotel so we needed somewhere that would impress - and it certainly did.Because the hotel is newish, we managed to get quite a good rate on the room.",VALUE
It was around the same price as some of the more traditional hotels on La Ramblas but you got so much more for your money.,VALUE
"The hotel is really modern but has an old school charm, for example dark oak walls and marble floored bathroom.",BUILDING
It adds a cosy feel without losing the sleekness.,BUILDING
"Oh by the way, bedrooms have a free pillow menu!",ROOMS
Breakfast was great and catered for all the health freaks to full on english breakfast and cakes.,FOOD
Location could not be better - you're right in the middle of the centre but we were never disturbed by noise since the rooms are sound-proof.I was on a work trip so only managed to check out the rooftop pool once but it was so lovely sitting on the deck with a cocktail.,LOCATION
The views of the city were great and it was so quiet from where we were - you would forget you were in a busy city.I had a full body massage which was so relaxing that I almost fell asleep at dinner later on!We will be going back next year and so will our clients - everyone loves it!,OTHER
loved the royal hotel is in excellent location on,OTHER
La rambla ---close to everything to see and transportation.,LOCATION
"room was attractive, clean, adequate size and very quiet even though faced on La rambla. restaurant was convenient and good for all meals though lots of small restaurants in area provideding easy access for meals.",CLEANLINESS
Desk staff very helpful and pleasant---would definitely stay there again.,CHECKIN
Bedbuggs !!!,OTHER
"A-Train after reading all these good reviews.I stayed in first class room (nothing first class about it; small room, no amenities - shampoo etc available) and after the third night (they had not changed the sheets) I found a little blood in the sheets.",ROOMS
My alarm bells did not ring then....The fouth morning the bed was covered with bedbuggs and they had eaten me all over.,ROOMS
"I complained at the Reception and all they did was only noting it down, they did not apology and the matter did not seem to suprise them.",SERVICE
Luckily that was my last night at the A-Train.,OTHER
Besides this the room was on the very busy street side and there were roadworks going on during the night.,ROOMS
On the positive side the breakfast and the breakfastroom were very nice and the personnel was nice (untill I complaint about the bugs).,FOOD
"Comfortable, friendly hotel",OTHER
Location was great.,LOCATION
"There were restaurants,Beverley Centre,laundrette, shops, all very close.",LOCATION
Public transport was very accessible.,LOCATION
The staff at the hotel were extremely helpful and courteous.,SERVICE
The rooms were quite nice and clean.,CLEANLINESS
Bathrooms were good.,ROOMS
The free internet was a godsend.,OTHER
The breakfast area next to the lobby was excellent with the morning sun beating in.,BUILDING
"The continental breakfast on offer was ideal with bagels ,cereals ,tea coffee, fresh fruit.",FOOD
We had a very pleasant stay and I would highly recommend anyone to stay there.,OTHER
Perfect!,OTHER
Had booked this hotel for a 10-night stay (got a great deal via,VALUE
And it fully lived up to our expectations!,OTHER
"Check-in a bit late - but it was a busy time for the hotel, and there's plenty to do just on the doorstep, so that was okay!",CHECKIN
"Great location - plenty to see, and good train/tube connections.",LOCATION
Charing Cross only 10 mins by train.,LOCATION
Even Portobello - which is in the direct opposite of London - only took less than 陆 hour by tube.,LOCATION
"Staff was friendly and hard-working - yes, many are from other European countries, but all work hard and are very friendly, so I can't see why some reviewers (and even some hotel-guests we overheard) would mention it as if it was a negative!",SERVICE
"Beds comfy, room spotless, good sanitary appliances as opposed to usual British plumbing!",CLEANLINESS
Nice tub.,ROOMS
Fluffy towels.,ROOMS
Miller-Harris smellies.,ROOMS
"Breakfast was typical hotel fare, not especially exciting, but fresh, varied and plentiful.",FOOD
"Room-service fast and delicious, great selection of food.",FOOD
Ate dinner at Georgetown - highly recommended!,NOTRELATED
There are plenty of places to eat in the area around the hotel (try the baguette-sandwiches from Patisserie Paul in the tube-vaults).,NOTRELATED
Vacation From Hell,OTHER
"Thier brochure and website rate this hotel as a four and half star property, but at the time of our visit it did not meet the standard of a three star property.",OTHER
