text,pred_category,true_label
"Room was comfy and very well heated if a little basic, breakfast was good a variety of cereals, breads, cheese, meats, etc, boiled eggs, juice, teacoffeeAll in all a pleasant enough place for a couple of days, mind you we didnt get to bed until 3:30 the first night and well after 4 on the second.","('FOOD',)","('ROOMS',)"
The guy I roomed with works in pest control and was a stickler about vermin bed bugs etc before we went and he had no complaints unlike some of our other guys who stayed elsewhere in the city so read into that what you will,"('ROOMS',)","('CLEANLINESS',)"
First thing we noticed were the meticulously landscaped lawns and gardens.,"('OTHER',)","('BUILDING',)"
"Plenty of pool area (each tower has one and a Super pool in teh middle), teh property sits ON the beach!","('OTHER',)","('BUILDING',)"
A beautiful lagoon to take walks along.,"('OTHER',)","('BUILDING',)"
There were 21 restaurant and 22 stores right on site.,"('FOOD',)","('OTHER',)"
Shopping was a bit pricey compared to shops a half mile away but boy was the stuff nice!!,"('LOCATION',)","('OTHER', 'VALUE')"
This place is away from the hustle and bustle of Honolulu.,"('OTHER',)","('NOTRELATED',)"
When we go back we will probably stay there to get some variety.,"('OTHER',)","('NOTRELATED',)"
We played the Ko'Olina golf course and it is well worth it!!!,"('OTHER',)","('NOTRELATED',)"
We also had the pleasure of going to a hotel called Ala Moana Hotel.,"('OTHER',)","('NOTRELATED',)"
Not on a beach but very elegant lobby.,"('BUILDING',)","('NOTRELATED',)"
No comment on the rooms as we did not see them.,"('ROOMS',)","('NOTRELATED',)"
If you go to Oahu whereever you stay you HAVE to eat at Aaron's in the Ala Moana hotel.,"('OTHER',)","('NOTRELATED',)"
The food is great but the service is incredible!,"('FOOD',)","('NOTRELATED',)"
"OK Hotel was pretty centrally located - nice rooms, but air conditioning not controllable.","('ROOMS',)","('LOCATION', 'ROOMS')"
I hate that.,"('OTHER',)","('ROOMS',)"
"Bed comfy, interenet was expensive at 30$Would stay here again though.","('OTHER',)","('ROOMS', 'VALUE')"
"It was reasonable on my company rate, very well located for tourist and shopping and was clean and modern.","('CLEANLINESS', 'ROOMS')","('BUILDING', 'CLEANLINESS', 'LOCATION', 'VALUE')"
